AlertID,Timestamp,Source,AlertName,Severity,Host,User,SourceIP,Action,Status
A-10441,2026-04-22 21:07,Antivirus,Trojan.Generic.Heur,Medium,WKS-042,mreyes,,Quarantined,Open
A-10442,2026-04-22 21:12,Firewall,Blocked inbound SYN flood,Low,FW-EDGE-01,,198.51.100.7,Blocked,Open
A-10443,2026-04-22 21:19,EDR,Suspicious PowerShell encoded command,High,WKS-118,jdelacruz,,Detected,Open
A-10444,2026-04-22 21:26,Antivirus,PE Infection Win32.Sality,High,WKS-042,mreyes,,Clean failed,Open
A-10445,2026-04-22 21:33,WAF,SQL injection attempt on /login,Medium,WEB-PRD-01,,203.0.113.45,Blocked,Open
A-10446,2026-04-22 21:41,DLP,400MB upload to personal cloud storage,High,WKS-207,jdelacruz,,Allowed,Open
A-10447,2026-04-22 21:55,SIEM,Multiple failed logons then success,High,SRV-MNL-02,administrator,10.10.4.61,Detected,Open
A-10448,2026-04-22 22:02,Antivirus,Adware.BrowserHijack,Low,WKS-118,jdelacruz,,Cleaned,Closed
A-10449,2026-04-22 22:14,Firewall,Blocked outbound to known C2,Critical,FW-EDGE-01,,10.10.4.61,Blocked,Open
A-10450,2026-04-22 22:20,EDR,Ransomware behaviour - mass file rename,Critical,WKS-091,rvillanueva,,Detected,Open
A-10451,2026-04-22 22:31,Agent,Agent offline,Medium,SRV-MNL-01,,,None,Open
A-10452,2026-04-22 22:31,Agent,Agent offline,Medium,SRV-MNL-02,,,None,Open
A-10453,2026-04-22 22:32,Agent,Agent offline,Medium,SRV-MNL-03,,,None,Open
A-10454,2026-04-22 22:33,Agent,Agent offline,Medium,SRV-MNL-04,,,None,Open
A-10455,2026-04-22 22:48,Agent,Agent offline,Medium,SRV-CEB-02,,,None,Open
A-10456,2026-04-22 23:05,Firewall,Blocked inbound SYN flood,Low,FW-EDGE-01,,198.51.100.7,Blocked,Open
A-10457,2026-04-22 23:19,NDR,Lateral movement SMB to 6 hosts,Critical,WKS-091,rvillanueva,10.10.4.91,Detected,Open
A-10458,2026-04-23 00:11,Antivirus,Trojan.Generic.Heur,Medium,WKS-303,acruz,,Quarantined,Open
A-10459,2026-04-23 01:40,SIEM,New service installed by non-admin,High,WKS-091,rvillanueva,,Detected,Open
A-10460,2026-04-23 02:55,Firewall,Blocked inbound SYN flood,Low,FW-EDGE-01,,198.51.100.7,Blocked,Open
